project_id,project_name,description,department,cost,start_date,end_date
DARPA-P-1000,DARPA Robotics Challenge,"Major DARPA AI/Robotics program focused on darpa robotics challenge, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA MTO (Microsystems Technology Office),420368160,2021-04-19,2023-04-11
DARPA-P-1001,OFFSET Swarm Robotics Program,"Major DARPA AI/Robotics program focused on offset swarm robotics program, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA BTO (Biological Technologies Office),142637161,2023-07-16,2026-08-19
DARPA-P-1002,RACER Autonomous Ground Vehicles,"Major DARPA AI/Robotics program focused on racer autonomous ground vehicles, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA TTO (Tactical Technology Office),466800438,2010-12-03,2013-11-20
DARPA-P-1003,ALPHA Dogfight AI,"Major DARPA AI/Robotics program focused on alpha dogfight ai, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA STO (Strategic Technology Office),296277874,2019-09-23,2021-11-09
DARPA-P-1004,XAI — Explainable AI Program,"Major DARPA AI/Robotics program focused on xai — explainable ai program, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA I2O (Information Innovation Office),74624566,2017-12-18,2020-03-25
DARPA-P-1005,Perceptually-enabled Task Guidance,"Major DARPA AI/Robotics program focused on perceptually-enabled task guidance, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA DSO (Defense Sciences Office),268323653,2016-06-20,2018-06-10
DARPA-P-1006,Gremlins Autonomous Drone Recovery,"Major DARPA AI/Robotics program focused on gremlins autonomous drone recovery, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA I2O (Information Innovation Office),488151172,2011-12-28,2014-11-26
DARPA-P-1007,LAGR — Learning Applied to Ground Robots,"Major DARPA AI/Robotics program focused on lagr — learning applied to ground robots, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA STO (Strategic Technology Office),192374851,2022-02-15,2023-12-04
DARPA-P-1008,CODE — Collaborative Operations in Denied Environments,"Major DARPA AI/Robotics program focused on code — collaborative operations in denied environments, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA BTO (Biological Technologies Office),371181357,2011-07-03,2012-08-23
DARPA-P-1009,ARES Vertical Takeoff Robotic System,"Major DARPA AI/Robotics program focused on ares vertical takeoff robotic system, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA TTO (Tactical Technology Office),79002313,2024-10-29,2028-01-05
DARPA-P-1010,DARPA Robotics Challenge,"Major DARPA AI/Robotics program focused on darpa robotics challenge, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA DSO (Defense Sciences Office),433122866,2014-04-12,2017-07-25
