project_id,project_name,description,department,cost,start_date,end_date
N-1000,Mars Landing Sensor Development,"R&D engineering project focused on mars landing sensor development to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,15409386,2015-08-04,2017-06-05
N-1001,Autonomous Docking Algorithm R&D,"R&D engineering project focused on autonomous docking algorithm r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Marshall,18886366,2017-05-16,2018-09-23
N-1002,SmallSat Propulsion Unit,"R&D engineering project focused on smallsat propulsion unit to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,15423022,2024-10-01,2026-03-21
N-1003,AI-Based Fault Detection System,"R&D engineering project focused on ai-based fault detection system to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA JPL,75580114,2023-08-21,2025-02-24
N-1004,Cryogenic Fuel Line Testing,"R&D engineering project focused on cryogenic fuel line testing to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA JPL,138232253,2014-01-19,2017-03-29
N-1005,High-Efficiency Power Cell Research,"R&D engineering project focused on high-efficiency power cell research to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,51694268,2023-06-17,2024-12-15
N-1006,Lunar Dust Mitigation System,"R&D engineering project focused on lunar dust mitigation system to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,59584393,2013-12-28,2016-07-18
N-1007,Lunar Dust Mitigation System,"R&D engineering project focused on lunar dust mitigation system to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,9880860,2017-12-02,2021-01-06
N-1008,Extravehicular Robotics Experiment,"R&D engineering project focused on extravehicular robotics experiment to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA JPL,113230616,2018-03-09,2020-11-24
N-1009,Radiation-Hardened Chip Research,"R&D engineering project focused on radiation-hardened chip research to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,127676817,2020-08-06,2022-04-23
N-1010,Solar Sail Material Development,"R&D engineering project focused on solar sail material development to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA JPL,85643995,2013-07-29,2014-04-18
N-1011,High-Efficiency Power Cell Research,"R&D engineering project focused on high-efficiency power cell research to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,57388135,2016-12-17,2019-10-13
N-1012,Autonomous Navigation Prototype,"R&D engineering project focused on autonomous navigation prototype to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,121951681,2012-04-23,2013-07-11
N-1013,Cryogenic Fuel Line Testing,"R&D engineering project focused on cryogenic fuel line testing to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,3005357,2010-04-02,2013-04-14
N-1014,Advanced Ion Propulsion Prototype,"R&D engineering project focused on advanced ion propulsion prototype to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Glenn,21625057,2017-07-29,2018-09-07
N-1015,Extravehicular Robotics Experiment,"R&D engineering project focused on extravehicular robotics experiment to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Langley,140896482,2016-02-14,2017-08-03
N-1016,Hypersonic Vehicle Aerodynamics Study,"R&D engineering project focused on hypersonic vehicle aerodynamics study to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,141941791,2015-04-09,2018-04-08
N-1017,Reusable Heat Shield R&D,"R&D engineering project focused on reusable heat shield r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,116590819,2016-11-27,2017-12-04
N-1018,Deep Space Radiation Modeling,"R&D engineering project focused on deep space radiation modeling to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,108357560,2011-10-22,2013-04-02
N-1019,High-Altitude Aerogel Sensor Test,"R&D engineering project focused on high-altitude aerogel sensor test to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,5921303,2013-03-01,2014-05-11
N-1020,Cryogenic Fuel Line Testing,"R&D engineering project focused on cryogenic fuel line testing to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Langley,100766185,2018-01-28,2019-01-11
N-1021,Planetary Drill Prototype,"R&D engineering project focused on planetary drill prototype to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,104145896,2011-07-06,2013-06-16
N-1022,SmallSat Propulsion Unit,"R&D engineering project focused on smallsat propulsion unit to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Langley,103102749,2024-06-05,2025-07-02
