project_id,project_name,description,department,cost,start_date,end_date
C-3001,Autonomous Rover Platform Upgrade,"Phase 1: Design and prototype a new sensor fusion algorithm for off-road navigation using stereo cameras and LIDAR, comparing multiple Kalman filter variants and deep learning models to reduce localization error under dust storms. Phase 2: Migrate existing rover control panel UI to a new web dashboard and update reports for mission controllers without changing functionality.",Robotics R&D,520000,2025-01-15,2025-11-30
C-3002,Thermal Protection Maintenance 2025,"Routine inspection, cleaning, and replacement of thermal protection tiles on existing orbiter fleet following standard operating procedures. No new materials, no design changes, no experimentation.",Operations,95000,2025-02-01,2025-03-15
C-3003,Hybrid Propellant Formulation Study,"Experimental campaign to evaluate new hybrid propellant mixtures for upper-stage rockets. The team is uncertain whether the new oxidizer/fuel ratio can achieve required thrust while staying within thermal limits. Multiple formulations are manufactured in small batches and tested in a subscale engine, iterating on mixture ratios, injector geometry, and cooling channels.",Propulsion Lab,780000,2024-09-01,2026-03-31
C-3004,Launch Schedule Dashboard Revamp,"Redesign the launch scheduling web portal with new branding, colors, and improved accessibility. No changes are made to scheduling algorithms or underlying data structures. Work is limited to HTML/CSS updates, component library migration, and content re-writing.",IT Applications,130000,2025-04-01,2025-07-30
C-3005,Cryogenic Leak Detection AI Pilot,"Research and prototype a machine learning model that predicts cryogenic propellant leaks from sensor streams. Engineers are unsure which combination of sensors and model architectures will achieve the required false-positive rate. The team tries gradient boosting, LSTMs, and transformer-based models, running controlled leak simulations and iteratively tuning features.",Systems Engineering,430000,2025-03-10,2026-01-15
C-3006,Regulatory Compliance Documentation,"Prepare documentation packages for previously completed engine certification tests, including formatting, indexing, and uploading existing test reports into the regulatory portal. No new testing is performed and no new analytical techniques are developed.",Regulatory Affairs,60000,2025-05-01,2025-06-20
C-3007,Deep-Space Antenna Control System,"Develop a new control algorithm that can adaptively adjust antenna pointing in response to dynamic spacecraft motion and signal degradation. The team is uncertain whether the proposed model-predictive control scheme can meet latency and stability constraints. Engineers build simulation environments, compare multiple controllers, and run closed-loop experiments. Separately, a small sub-task updates the operator training manual with new screenshots.",Communications,650000,2024-11-01,2026-02-28
C-3008,Mission Debrief Portal Content Refresh,"Replace outdated mission debrief PDFs with new text provided by scientists, adjust header logos, and archive older files. No new data analysis, algorithms, or tools are developed.",Knowledge Management,40000,2025-01-05,2025-02-28
C-3009,Reusable Stage Landing Guidance,"Integrated project that: (1) designs a new landing guidance algorithm using reinforcement learning to handle high-wind scenarios where current PID-based control fails, experimenting with reward functions and policy architectures; and (2) upgrades the mission control big-screen UI to show new landing metrics without changing any underlying calculations.",Flight Dynamics,910000,2025-02-15,2026-06-30
C-3010,Data Center Hardware Refresh,"Purchase and install replacement servers and network switches in the mission data center. Configuration follows vendor reference designs and existing runbooks. No new system architecture, no custom firmware, and no experimental performance tuning.",IT Infrastructure,510000,2025-06-01,2025-09-30
C-3011,Planetary Soil Simulation Toolkit,"Create a new numerical simulation toolkit for predicting rover wheel traction on different planetary soil compositions. The team is unsure which constitutive soil models best match lab data and runs a series of experiments, calibrating parameters and comparing simulation outputs against instrumented wheel tests in a regolith testbed.",Planetary Science,570000,2024-10-10,2026-04-30
C-3012,Launch Pad Safety Training Videos,"Produce new safety training videos and e-learning modules for launch pad workers. Work involves script writing, filming, editing, and uploading to the LMS. No changes are made to safety systems themselves and no engineering uncertainties are addressed.",Safety & Training,85000,2025-03-01,2025-05-15
C-3013,Satellite Attitude Determination Upgrade,"Investigate replacing the existing extended Kalman filter with an unscented or square-root filter for attitude determination using star tracker and gyro data. Uncertainty exists about numerical stability and on-board CPU usage. Engineers build a high-fidelity simulator, run Monte Carlo experiments, and tune algorithms to meet accuracy requirements.","Guidance, Navigation & Control",495000,2025-01-20,2026-01-31
C-3014,API Integration for Timesheet System,"Connect the existing engineering timesheet system to the corporate ERP through standard REST APIs. Mapping fields, handling authentication, and implementing unit tests. Work follows vendor integration guides with no novel algorithms or experimental designs.",Enterprise IT,120000,2025-04-15,2025-08-31
C-3015,Radiation-Hardened FPGA Evaluation,"Experimental evaluation of new radiation-hardened FPGAs for use in deep-space avionics. The team is uncertain whether the new devices can meet timing and power targets under cosmic ray exposure. Engineers design custom test boards, run fault-injection campaigns, compare mitigation techniques, and iterate on firmware configurations.",Avionics,660000,2024-12-01,2026-05-31
